orden;sitios;codigo;fecha;año;campaña;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
19;Costanera Norte - Espigón Abanico;CA044;27/10/2021;2021;primavera;24.9;no se midió;8.1;8.1;Ausencia;Ausencia;Ausencia;Ausencia;35000;5200;6100;4.4;1.7;0.25;0.27;6.9;35;13;<100;<0.005;<0.001;0.01246;<0.20;39;Extremadamente deteriorada
20;Club de Pescadores;CA046;24/2/2021;2021;verano;24.9;27;6.4;7.7;Ausencia;Ausencia;Ausencia;Ausencia;4000;3600;800;no se midió;0.3;0.69;no se midió;<5;<50;91;<100;<10;0.02;0;<0.15;42;Extremadamente deteriorada
20;Club de Pescadores;CA046;19/5/2021;2021;otoño;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
20;Club de Pescadores;CA046;25/8/2021;2021;invierno;14.7;;8.6;7.6;Ausencia;Ausencia;Ausencia;Ausencia;4000;3800;810;3.6;1.8;0.08;0.2;<5;<50;31;<100;<0.01;<0.001;<0.010;<0.20;45;Muy deteriorada
20;Club de Pescadores;CA046;27/10/2021;2021;primavera;24.2;no se midió;7.8;7.7;Ausencia;Ausencia;Ausencia;Ausencia;100000;45000;490;6.1;2.5;<0.20;0.17;5.7;35;21;<100;<0.005;<0.001;0.01483;<0.20;38;Extremadamente deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CA047;24/2/2021;2021;verano;26.5;no se midió;8.7;8.1;Ausencia;Ausencia;Ausencia;Ausencia;380;340;30;no se midió;0.8;0.76;no se midió;<5;<50;105;<100;<10;0.021;0;<0.15;46;Muy deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CA047;19/5/2021;2021;otoño;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
21;Reserva Ecológica Costanera Sur - Playita;CA047;25/8/2021;2021;invierno;15.5;;9;7.7;Ausencia;Ausencia;Ausencia;Ausencia;12000;1200;360;3.5;2.06;0.1;0.42;<5;<50;39.6;<100;<0.01;<0.001;<0.010;<0.20;46;Muy deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CA047;27/10/2021;2021;primavera;23.8;no se midió;7.9;7.6;Ausencia;Ausencia;Ausencia;Ausencia;3000;230;240;4.7;<0.05;0.33;0.31;5.2;38;10;<100;<0.005;<0.001;0.00059;<0.20;52;Muy deteriorada
22;Escollera de Propaneros;AV054;24/2/2021;2021;verano;26.1;no se midió;3.95;6.86;Ausencia;Ausencia;Ausencia;Ausencia;9000;5000;800;5.2;0.59;2.5;2.4;6;<30;45;<100;<5.0;<0.001;0;<0.15;38;Extremadamente deteriorada
